|64|2484|1312|2528|2420|0.000035|35|0.000115|115|0.000035|34|0.000032|32|
|76|2496|1312|2528|2420|0.000030|29|0.000075|75|0.000030|30|0.000031|30|
|91|2511|1312|2528|2420|0.000035|34|0.000182|181|0.000057|56|0.000038|37|
|109|2529|1312|2528|2420|0.000065|65|0.000183|183|0.000065|64|0.000070|69|
|130|2550|1312|2528|2420|0.000055|55|0.000262|262|0.000143|143|0.000057|57|
|156|2576|1312|2528|2420|0.000033|33|0.000079|78|0.000036|35|0.000037|36|
|187|2607|1312|2528|2420|0.000043|43|0.000139|138|0.000061|60|0.000046|45|
|224|2644|1312|2528|2420|0.000045|45|0.000133|133|0.000043|43|0.000045|44|
|268|2688|1312|2528|2420|0.000037|37|0.000102|102|0.000050|50|0.000041|41|
|321|2741|1312|2528|2420|0.000054|53|0.000167|166|0.000059|59|0.000077|77|
|385|2805|1312|2528|2420|0.000073|73|0.000122|121|0.000085|84|0.000051|50|
|462|2882|1312|2528|2420|0.000054|54|0.000133|133|0.000059|58|0.000045|44|
|554|2974|1312|2528|2420|0.000029|29|0.000074|74|0.000032|32|0.000032|32|
|664|3084|1312|2528|2420|0.000029|29|0.000110|110|0.000037|36|0.000033|32|
|796|3216|1312|2528|2420|0.000030|30|0.000069|68|0.000033|33|0.000033|33|
|955|3375|1312|2528|2420|0.000029|29|0.000107|107|0.000034|34|0.000033|33|
|1146|3566|1312|2528|2420|0.000304|303|0.000126|126|0.000044|44|0.000049|48|
|1375|3795|1312|2528|2420|0.000060|60|0.000235|235|0.000077|76|0.000093|92|
|1650|4070|1312|2528|2420|0.000052|51|0.000213|213|0.000075|75|0.000056|56|
|1980|4400|1312|2528|2420|0.000030|29|0.000141|140|0.000038|38|0.000037|37|
|2376|4796|1312|2528|2420|0.000030|29|0.000092|92|0.000039|39|0.000039|38|
|2851|5271|1312|2528|2420|0.000029|29|0.000126|126|0.000047|47|0.000040|40|
|3421|5841|1312|2528|2420|0.000030|30|0.000094|94|0.000047|47|0.000045|45|
|4105|6525|1312|2528|2420|0.000066|66|0.000132|132|0.000045|45|0.000044|44|
|4926|7346|1312|2528|2420|0.000036|36|0.000159|158|0.000074|73|0.000071|71|
|5911|8331|1312|2528|2420|0.000057|56|0.000124|124|0.000053|52|0.000055|55|
|7093|9513|1312|2528|2420|0.000030|29|0.000108|107|0.000059|58|0.000055|54|
|8511|10931|1312|2528|2420|0.000029|29|0.000105|104|0.000062|61|0.000060|59|
|10213|12633|1312|2528|2420|0.000030|29|0.000113|113|0.000068|68|0.000065|65|
|12255|14675|1312|2528|2420|0.000031|31|0.000160|159|0.000082|82|0.000077|76|
|14706|17126|1312|2528|2420|0.000036|35|0.000140|140|0.000104|103|0.000087|87|
|17647|20067|1312|2528|2420|0.000034|34|0.000183|183|0.000111|111|0.000101|101|
|21176|23596|1312|2528|2420|0.000030|29|0.000152|152|0.000108|108|0.000103|103|
|25411|27831|1312|2528|2420|0.000035|35|0.000175|174|0.000153|153|0.000137|137|
|30493|32913|1312|2528|2420|0.000052|51|0.000244|243|0.000177|177|0.000174|173|
|36591|39011|1312|2528|2420|0.000037|37|0.000287|287|0.000222|221|0.000245|245|
|43909|46329|1312|2528|2420|0.000031|30|0.000226|225|0.000198|197|0.000183|183|
|52690|55110|1312|2528|2420|0.000038|37|0.000315|315|0.000294|294|0.000257|256|
|63228|65648|1312|2528|2420|0.000043|43|0.000312|312|0.000276|275|0.000253|252|
|75873|78293|1312|2528|2420|0.000032|31|0.000391|391|0.000314|314|0.000291|290|
|91047|93467|1312|2528|2420|0.000032|31|0.000425|425|0.000423|423|0.000358|357|
|109256|111676|1312|2528|2420|0.000035|34|0.000512|512|0.000519|518|0.000455|455|
|131107|133527|1312|2528|2420|0.000039|38|0.000689|688|0.000600|599|0.000509|508|
|157328|159748|1312|2528|2420|0.000034|34|0.000759|758|0.000679|679|0.000620|619|
|188793|191213|1312|2528|2420|0.000032|32|0.000872|872|0.000982|982|0.000959|958|
|226551|228971|1312|2528|2420|0.000033|32|0.001083|1083|0.000983|983|0.000915|915|
|271861|274281|1312|2528|2420|0.000032|32|0.001176|1175|0.001146|1145|0.001043|1042|
|326233|328653|1312|2528|2420|0.000038|37|0.001404|1404|0.001505|1505|0.001337|1337|
|391479|393899|1312|2528|2420|0.000035|34|0.001574|1573|0.001661|1660|0.001479|1479|
|469774|472194|1312|2528|2420|0.000034|34|0.001794|1794|0.001924|1923|0.001752|1752|
|563728|566148|1312|2528|2420|0.000039|38|0.002200|2199|0.002382|2381|0.002160|2160|
|676473|678893|1312|2528|2420|0.000035|34|0.002901|2900|0.002954|2954|0.002549|2549|
|811767|814187|1312|2528|2420|0.000051|51|0.003732|3731|0.003793|3792|0.003387|3387|
|974120|976540|1312|2528|2420|0.000044|43|0.004467|4466|0.004562|4562|0.003914|3913|
|1168944|1171364|1312|2528|2420|0.000038|37|0.004536|4536|0.004784|4784|0.004501|4501|
|1402732|1405152|1312|2528|2420|0.000040|40|0.005633|5633|0.005702|5702|0.005545|5545|
|1683278|1685698|1312|2528|2420|0.000040|40|0.006645|6645|0.007312|7312|0.006531|6531|
|2019933|2022353|1312|2528|2420|0.000046|45|0.008517|8517|0.009382|9382|0.008897|8897|
|2423919|2426339|1312|2528|2420|0.000055|55|0.010206|10205|0.010767|10766|0.009900|9900|
|2908702|2911122|1312|2528|2420|0.000041|41|0.011346|11346|0.011525|11524|0.010949|10948|
|3490442|3492862|1312|2528|2420|0.000050|50|0.014264|14263|0.014511|14510|0.013758|13757|
